index	return	risk	AAPL	SPY	TSLA	RBLX	R	ROL
21.0	0.03069220357860184	0.040733744797451094	0.2092679213360824	0.08976678754885699	1.1250544769516277e-19	0.21758038018810816	0.03240366831433317	0.4509812426126193
22.0	0.031221722753351066	0.0414838785850971	0.21091039466680128	0.0644413559431811	1.2784054532066883e-19	0.226188509752741	0.040216546773913286	0.4582431928633634
23.0	0.03175124192810029	0.0422514528587613	0.2125528679975203	0.03911592433750454	1.431694289055622e-19	0.23479663931737388	0.04802942523349352	0.4655051431141077
24.0	0.03228076110284951	0.04303553443217624	0.21419534132823934	0.013790492731827945	1.5850629729190003e-19	0.24340476888200666	0.05584230369307382	0.4727670933648522
25.0	0.03281028027759873	0.04383654967520251	0.2125048722406478	-1.8649004648051654e-21	8.234339543823526e-21	0.2523540457562046	0.060937475190151344	0.4742036068129963
26.0	0.033339799452347954	0.04466287567997652	0.2068297337327928	-1.8511757231369648e-21	8.161934129910793e-21	0.2617111782371373	0.06278351649906969	0.46867557153100026
27.0	0.033869318627097175	0.04551494020131351	0.20115459522493753	-1.8379839760989635e-21	8.093780398505717e-21	0.2710683107180699	0.06462955780798843	0.4631475362490041
28.0	0.0343988378018464	0.04639132505112156	0.19547945671708225	-1.8229511487752142e-21	8.026631044934591e-21	0.2804254431990027	0.06647559911690681	0.45761950096700826
29.0	0.034928356976595624	0.04729067814500083	0.18980431820922697	-1.8100847857894023e-21	7.954623422921719e-21	0.2897825756799353	0.06832164042582554	0.4520914656850122
30.0	0.035457876151344846	0.04821171413437678	0.18412917970137177	-1.7951740716701316e-21	7.886907085762365e-21	0.2991397081608679	0.07016768173474415	0.4465634304030162
31.0	0.035987395326094074	0.0491532141480213	0.17845404119351665	-1.7814264087731873e-21	7.817016502107562e-21	0.30849684064180066	0.07201372304366255	0.44103539512102025
32.0	0.036516914500843295	0.05011402481674348	0.1727789026856615	-1.767688440952116e-21	7.74889416851899e-21	0.3178539731227332	0.07385976435258108	0.4355073598390242
33.0	0.037046433675592516	0.05109305673504658	0.16710376417780623	-1.7526290064716954e-21	7.677559803876265e-21	0.32721110560366595	0.07570580566149948	0.4299793245570283
34.0	0.03757595285034174	0.05208928249336673	0.16142862566995098	-1.740462749626006e-21	7.607248311288952e-21	0.3365682380845985	0.07755184697041828	0.4244512892750322
35.0	0.03810547202509096	0.05310173439504968	0.15575348716209583	-1.7254949193594735e-21	7.53753085759349e-21	0.3459253705655312	0.07939788827933665	0.4189232539930363
36.0	0.03863499119984018	0.05412950195407869	0.15007834865424077	-1.7112558577991792e-21	7.470011713800365e-21	0.35528250304646375	0.08124392958825523	0.41339521871104024
37.0	0.0391645103745894	0.05517172925309105	0.14440321014638546	-1.6977006580889953e-21	7.399041683173884e-21	0.3646396355273964	0.08308997089717379	0.4078671834290443
38.0	0.03969402954933862	0.05622761222657176	0.1387280716385304	-1.6830009123619111e-21	7.330836507135484e-21	0.37399676800832893	0.08493601220609232	0.4023391481470484
39.0	0.04022354872408785	0.057296395921319784	0.133052933130675	-1.6688201399973709e-21	7.261737065901062e-21	0.38335390048926166	0.08678205351501096	0.39681111286505244
40.0	0.04075306789883707	0.058377371775278686	0.12737779462281978	-1.6559676122220558e-21	7.191462823436627e-21	0.3927110329701944	0.08862809482392947	0.3912830775830563
41.0	0.0412825870735863	0.059469874946489885	0.12170265611496475	-1.6408169071866356e-21	7.119766465599135e-21	0.4020681654511271	0.09047413613284794	0.38575504230106017
42.0	0.04181210624833552	0.0605732817161061	0.11602751760710943	-1.6264872124740349e-21	7.052358237769348e-21	0.4114252979320598	0.0923201774417665	0.3802270070190643
43.0	0.04234162542308474	0.06168700698292895	0.1103523790992542	-1.6143483898918096e-21	6.98121927975988e-21	0.42078243041299224	0.09416621875068516	0.37469897173706834
44.0	0.04287114459783396	0.0628105018616367	0.104677240591399	-1.5989796470286525e-21	6.914025665502153e-21	0.43013956289392496	0.09601226005960378	0.36917093645507226
